EMOTION AND GAZE REPORT #1
==================================================

EMOTIONAL TIMELINE:
21:13:37.820 (20.1s): sad (70.0%)
21:13:37.853 (20.2s): surprise (75.0%)
21:13:37.885 (20.2s): surprise (75.0%)
21:13:37.916 (20.2s): surprise (75.0%)
21:13:37.969 (20.3s): sad (70.0%)
21:13:37.995 (20.3s): sad (70.0%)
21:13:38.027 (20.3s): sad (70.0%)
21:13:38.057 (20.4s): sad (70.0%)
21:13:38.088 (20.4s): surprise (75.0%)
21:13:38.119 (20.4s): surprise (75.0%)
21:13:38.151 (20.5s): sad (70.0%)
21:13:38.182 (20.5s): surprise (75.0%)
21:13:38.225 (20.5s): surprise (75.0%)
21:13:38.259 (20.6s): surprise (75.0%)
21:13:38.291 (20.6s): surprise (75.0%)
21:13:38.323 (20.6s): surprise (75.0%)
21:13:38.355 (20.7s): surprise (75.0%)
21:13:38.387 (20.7s): surprise (75.0%)
21:13:38.418 (20.7s): sad (70.0%)
21:13:38.449 (20.8s): surprise (75.0%)
21:13:38.479 (20.8s): surprise (75.0%)
21:13:38.511 (20.8s): surprise (75.0%)
21:13:38.546 (20.9s): surprise (75.0%)
21:13:38.574 (20.9s): sad (70.0%)
21:13:38.626 (20.9s): surprise (75.0%)
21:13:38.656 (21.0s): sad (70.0%)
21:13:38.685 (21.0s): sad (70.0%)
21:13:38.705 (21.0s): sad (70.0%)
21:13:38.738 (21.0s): sad (70.0%)
21:13:38.767 (21.1s): sad (70.0%)
21:13:38.803 (21.1s): sad (70.0%)
21:13:38.835 (21.1s): sad (70.0%)
21:13:38.881 (21.2s): sad (70.0%)
21:13:38.919 (21.2s): sad (70.0%)
21:13:38.956 (21.3s): sad (70.0%)
21:13:38.987 (21.3s): sad (70.0%)
21:13:39.025 (21.3s): sad (70.0%)
21:13:39.057 (21.4s): sad (70.0%)
21:13:39.087 (21.4s): sad (70.0%)
21:13:39.115 (21.4s): sad (70.0%)
21:13:39.146 (21.5s): sad (70.0%)
21:13:39.171 (21.5s): sad (70.0%)
21:13:39.207 (21.5s): sad (70.0%)
21:13:39.237 (21.5s): sad (70.0%)
21:13:39.278 (21.6s): sad (70.0%)
21:13:39.312 (21.6s): sad (70.0%)
21:13:39.347 (21.7s): sad (70.0%)
21:13:39.379 (21.7s): sad (70.0%)
21:13:39.423 (21.7s): sad (70.0%)
21:13:39.459 (21.8s): sad (70.0%)
21:13:39.491 (21.8s): sad (70.0%)
21:13:39.524 (21.8s): sad (70.0%)
21:13:39.555 (21.9s): sad (70.0%)
21:13:39.583 (21.9s): sad (70.0%)
21:13:39.615 (21.9s): sad (70.0%)
21:13:39.647 (22.0s): sad (70.0%)
21:13:39.677 (22.0s): sad (70.0%)
21:13:39.709 (22.0s): sad (70.0%)
21:13:39.743 (22.1s): sad (70.0%)
21:13:39.772 (22.1s): sad (70.0%)
21:13:39.822 (22.1s): angry (60.0%)
21:13:39.852 (22.2s): angry (60.0%)
21:13:39.888 (22.2s): angry (60.0%)
21:13:39.917 (22.2s): angry (60.0%)
21:13:39.948 (22.3s): angry (60.0%)
21:13:39.978 (22.3s): angry (60.0%)
21:13:40.009 (22.3s): angry (60.0%)
21:13:40.044 (22.4s): angry (60.0%)
21:13:40.079 (22.4s): angry (60.0%)
21:13:40.110 (22.4s): angry (60.0%)
21:13:40.140 (22.5s): angry (60.0%)
21:13:40.177 (22.5s): angry (60.0%)
21:13:40.221 (22.5s): sad (70.0%)
21:13:40.256 (22.6s): sad (70.0%)
21:13:40.289 (22.6s): sad (70.0%)
21:13:40.321 (22.6s): sad (70.0%)
21:13:40.351 (22.7s): sad (70.0%)
21:13:40.382 (22.7s): sad (70.0%)
21:13:40.413 (22.7s): sad (70.0%)
21:13:40.447 (22.8s): sad (70.0%)
21:13:40.476 (22.8s): sad (70.0%)
21:13:40.512 (22.8s): sad (70.0%)
21:13:40.542 (22.9s): sad (70.0%)
21:13:40.572 (22.9s): sad (70.0%)
21:13:40.622 (22.9s): sad (70.0%)
21:13:40.652 (23.0s): sad (70.0%)
21:13:40.675 (23.0s): sad (70.0%)
21:13:40.696 (23.0s): sad (70.0%)
21:13:40.737 (23.0s): sad (70.0%)
21:13:40.765 (23.1s): sad (70.0%)
21:13:40.797 (23.1s): sad (70.0%)
21:13:40.848 (23.2s): sad (70.0%)
21:13:40.876 (23.2s): sad (70.0%)
21:13:40.913 (23.2s): sad (70.0%)
21:13:40.942 (23.3s): sad (70.0%)
21:13:40.974 (23.3s): sad (70.0%)
21:13:41.023 (23.3s): sad (70.0%)
21:13:41.054 (23.4s): sad (70.0%)
21:13:41.075 (23.4s): sad (70.0%)
21:13:41.096 (23.4s): sad (70.0%)
21:13:41.134 (23.4s): sad (70.0%)
21:13:41.166 (23.5s): sad (70.0%)
21:13:41.203 (23.5s): sad (70.0%)
21:13:41.245 (23.6s): sad (70.0%)
21:13:41.275 (23.6s): sad (70.0%)
21:13:41.312 (23.6s): sad (70.0%)
21:13:41.342 (23.7s): sad (70.0%)
21:13:41.380 (23.7s): sad (70.0%)
21:13:41.423 (23.7s): sad (70.0%)
21:13:41.452 (23.8s): sad (70.0%)
21:13:41.471 (23.8s): sad (70.0%)
21:13:41.491 (23.8s): sad (70.0%)
21:13:41.531 (23.8s): sad (70.0%)
21:13:41.568 (23.9s): sad (70.0%)
21:13:41.597 (23.9s): sad (70.0%)
21:13:41.629 (23.9s): sad (70.0%)
21:13:41.681 (24.0s): sad (70.0%)
21:13:41.711 (24.0s): sad (70.0%)
21:13:41.740 (24.1s): sad (70.0%)
21:13:42.406 (24.7s): sad (70.0%)
21:13:42.427 (24.7s): sad (70.0%)
21:13:42.449 (24.8s): sad (70.0%)
21:13:42.476 (24.8s): sad (70.0%)
21:13:42.513 (24.8s): sad (70.0%)
21:13:42.543 (24.9s): sad (70.0%)
21:13:42.573 (24.9s): sad (70.0%)
21:13:42.625 (24.9s): sad (70.0%)
21:13:42.654 (25.0s): sad (70.0%)
21:13:42.680 (25.0s): sad (70.0%)
21:13:42.710 (25.0s): sad (70.0%)
21:13:42.743 (25.1s): sad (70.0%)
21:13:42.775 (25.1s): sad (70.0%)
21:13:42.804 (25.1s): sad (70.0%)
21:13:42.844 (25.2s): sad (70.0%)
21:13:42.878 (25.2s): sad (70.0%)
21:13:42.909 (25.2s): sad (70.0%)
21:13:42.944 (25.3s): sad (70.0%)
21:13:42.976 (25.3s): sad (70.0%)
21:13:43.008 (25.3s): sad (70.0%)
21:13:43.053 (25.4s): angry (60.0%)
21:13:43.088 (25.4s): angry (60.0%)
21:13:43.116 (25.4s): angry (60.0%)
21:13:43.147 (25.5s): angry (60.0%)
21:13:43.178 (25.5s): angry (60.0%)
21:13:43.209 (25.5s): angry (60.0%)
21:13:43.240 (25.6s): angry (60.0%)
21:13:43.271 (25.6s): angry (60.0%)
21:13:43.308 (25.6s): angry (60.0%)
21:13:43.337 (25.7s): sad (70.0%)
21:13:43.375 (25.7s): angry (60.0%)
21:13:43.403 (25.7s): sad (70.0%)
21:13:43.439 (25.8s): angry (60.0%)
21:13:43.488 (25.8s): angry (60.0%)
21:13:43.521 (25.8s): sad (70.0%)
21:13:43.553 (25.9s): sad (70.0%)
21:13:43.597 (25.9s): sad (70.0%)
21:13:43.629 (25.9s): sad (70.0%)
21:13:43.659 (26.0s): angry (60.0%)
21:13:43.689 (26.0s): angry (60.0%)
21:13:43.722 (26.0s): angry (60.0%)
21:13:43.755 (26.1s): angry (60.0%)
21:13:43.786 (26.1s): angry (60.0%)
21:13:43.817 (26.1s): angry (60.0%)
21:13:43.850 (26.2s): sad (70.0%)
21:13:43.885 (26.2s): sad (70.0%)
21:13:43.921 (26.2s): sad (70.0%)
21:13:43.966 (26.3s): sad (70.0%)
21:13:43.989 (26.3s): sad (70.0%)
21:13:44.019 (26.3s): sad (70.0%)
21:13:44.050 (26.4s): sad (70.0%)
21:13:44.081 (26.4s): sad (70.0%)
21:13:44.115 (26.4s): sad (70.0%)
21:13:44.145 (26.5s): sad (70.0%)
21:13:44.176 (26.5s): angry (60.0%)
21:13:44.206 (26.5s): angry (60.0%)
21:13:44.238 (26.6s): angry (60.0%)
21:13:44.283 (26.6s): angry (60.0%)
21:13:44.318 (26.6s): angry (60.0%)
21:13:44.362 (26.7s): angry (60.0%)
21:13:44.393 (26.7s): angry (60.0%)
21:13:44.425 (26.7s): angry (60.0%)
21:13:44.454 (26.8s): sad (70.0%)
21:13:44.486 (26.8s): sad (70.0%)
21:13:44.517 (26.8s): sad (70.0%)
21:13:44.551 (26.9s): angry (60.0%)
21:13:44.580 (26.9s): sad (70.0%)
21:13:44.612 (26.9s): angry (60.0%)
21:13:44.643 (27.0s): angry (60.0%)
21:13:44.688 (27.0s): sad (70.0%)
